Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S11539100021,04/09/2013,4793,Fort Madison Fast Break,5002 AVENUE O,FORT MADISON,52627,POINT (-91.377416 40.624074),56,Lee,1031200,VODKA FLAVORED,380,Phillips Beverage Company,40621,UV Chocolate Cake Mini,6,500,4.88,7.32,2,14.64,1.00,0.26
S20674700010,08/14/2014,4092,Fareway Stores #077 / Norwalk,1711 SUNSET DR,NORWALK,50211,POINT (-93.675528 41.483259),91,Warren,1012200,SCOTCH WHISKIES,55,Sazerac North America,8828,Lauder's,6,"1,750",10.68,16.27,6,97.62,10.50,2.77
S28410800057,10/13/2015,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,POINT (-90.668138 42.504959),31,Dubuque,1032200,IMPORTED VODKA - MISC,65,Jim Beam Brands,35626,Pinnacle Whipped,12,750,6.88,10.82,6,64.92,4.50,1.19
S13009500017,06/26/2013,3621,"Jensen Liquors, Ltd.",615  2ND AVE,SHELDON,51201,POINT (-95.854899 43.184242),71,O'Brien,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,15247,Windsor Canadian,12,"1,000",6.55,9.83,12,117.96,12.00,3.17
S05801700008,05/30/2012,3909,D And S Grocery,104 SE  A ST,MELCHER-DALLAS,50163,POINT (-93.24163400000002 41.222471),63,Marion,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36304,Hawkeye Vodka,24,375,2.06,3.09,4,12.36,1.50,0.40
S09732200072,12/27/2012,3776,Wal-Mart 5115 / Davenport,3101 WEST KIMBERLY RD,DAVENPORT,52806,POINT (-90.620069 41.559268),82,Scott,1031080,VODKA 80 PROOF,380,Phillips Beverage Company,37348,Phillips Vodka,6,"1,750",7.31,10.97,30,329.10,52.50,13.87
S13718200013,08/07/2013,4005,Lansing Liquor and More,417 MAIN ST,LANSING,52151,POINT (-91.219222 43.36182),03,Allamakee,1081200,CREAM LIQUEURS,305,MHW Ltd,73054,Rumchata,6,"1,750",24.33,36.50,6,219.00,10.50,2.77
S19809400120,06/27/2014,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1081400,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,"1,000",2.21,3.31,12,39.72,12.00,3.17
S16458100036,12/23/2013,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53,Jones,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,85,Brown-Forman Corporation,64676,Chambord Liqueur Royale De France,12,750,18.56,27.84,1,27.84,0.75,0.20
S17129500005,01/30/2014,4844,Iowa City Fast Break,"2580, NAPLES AVE",IOWA CITY,52240,POINT (-91.571064 41.632792),52,Johnson,1031080,VODKA 80 PROOF,260,Diageo Americas,37994,Smirnoff Vodka 80 Prf,24,375,4.75,7.13,24,171.12,9.00,2.38
S03707200047,01/24/2012,3584,L and M Beverage,1011 S FREDERICK M/A PO BX 572,OELWEIN,50662,,33,Fayette,1062310,SPICED RUM,35,"Bacardi U.S.A., Inc.",43206,Bacardi Oakheart,12,"1,000",9.99,14.99,3,44.97,3.00,0.79
S19495100005,06/11/2014,4308,Keystone Liquor and Wine / Coralvill,517  2ND ST STE 2,CORALVILLE,52241,POINT (-91.574095 41.671543),52,Johnson,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11774,Black Velvet,24,375,3.07,4.60,24,110.40,9.00,2.38
